route_id,agency_id,route_long_name,route_desc,route_short_name,route_type,route_url,route_color,route_text_color
99455,2,,,2-11,3,,376530,ffffff
99427,4,,,2-12,3,,D07400,ffffff
99417,2,,,2-2,3,,376530,ffffff
99424,2,,,2-3,3,,376530,ffffff
99425,2,,,2-4,3,,376530,ffffff
99420,2,,,2-5,3,,376530,ffffff
99418,4,,,2-6,3,,D07400,ffffff
99422,2,,,2-7,3,,376530,ffffff
99595,2,,,2-7_,3,,376530,ffffff
99428,2,,,2-8,3,,376530,ffffff
844,4,,,20-4,3,,D07400,ffffff
567,4,,,22-2,3,,D07400,ffffff
835,4,,,22-3,3,,D07400,ffffff
99560,2,,,3-1,3,,376530,ffffff
99565,2,,,3-3,3,,376530,ffffff
99582,2,,,3-4,3,,376530,ffffff
99564,2,,,3-5,3,,376530,ffffff
99566,2,,,3-6,3,,376530,ffffff
99567,2,,,3-7,3,,376530,ffffff
99569,2,,,3-9,3,,376530,ffffff
99572,2,,,4-1,3,,376530,ffffff
99573,2,,,4-2,3,,376530,ffffff
99574,2,,,4-3,3,,376530,ffffff
99575,2,,,4-3_,3,,376530,ffffff
807,3,,,403A,3,,00608B,ffffff
689,3,,,403B,3,,00608B,ffffff
236,3,,,494A,3,,00608B,ffffff
1675,2,,,5-1,3,,376530,ffffff
1674,2,,,5-2,3,,376530,ffffff
1657,2,,,5-3,3,,376530,ffffff
1695,2,,,5-4,3,,376530,ffffff
696,3,,,544A,3,,00608B,ffffff
58,3,,,544B,3,,00608B,ffffff
792,3,,,56A,3,,00608B,ffffff
531,3,,,56B,3,,00608B,ffffff
1436,3,,,59A,3,,00608B,ffffff
906,3,,,59B,3,,00608B,ffffff
1687,2,,,6-1,3,,376530,ffffff
1854,5,,,6-18,3,,6C102D,ffffff
1855,5,,,6-_18,3,,6C102D,ffffff
1839,5,,,6-18_,3,,6C102D,ffffff
1683,2,,,6-2,3,,376530,ffffff
99436,2,,,6-3,3,,376530,ffffff
99446,2,,,6-4,3,,376530,ffffff
99448,2,,,6-5,3,,376530,ffffff
99736,2,,,6-5_,3,,376530,ffffff
99454,2,,,6-6,3,,376530,ffffff
